id_venda,id_cliente,id_produto,quantidade,data_venda
1,126,27,2,2013-01-06
2,380,2,5,2013-01-02
3,16,8,1,2013-01-14
4,14,10,5,2013-01-12
5,280,19,4,2013-01-11
6,413,1,2,2013-01-07
7,173,47,1,2013-01-05
8,434,2,3,2013-01-27
9,374,33,4,2013-01-05
10,194,48,1,2013-01-29
11,317,35,3,2013-01-21
12,24,24,2,2013-01-02
13,438,49,2,2013-01-02
14,84,36,3,2013-01-05
15,360,21,1,2013-01-11
16,195,3,3,2013-01-12
17,353,444,5,2013-01-25
18,394,6,1,2013-01-30
19,162,1,4,2013-01-02
20,162,39,2,2013-01-28
21,469,8,4,2013-01-10
22,382,3,5,2013-01-27
23,220,28,5,2013-01-21
24,253,444,1,2013-01-11
25,79,38,2,2013-01-22
26,33,8,4,2013-01-29
27,271,50,3,2013-01-14
28,349,80,1,2013-01-01
29,137,10,3,2013-01-08
30,233,8,1,2013-01-21
31,135,444,5,2013-01-17
32,55,10,3,2013-01-14
33,102,10,2,2013-01-08
34,489,3,5,2013-01-11
35,186,3,3,2013-01-17
36,291,5,1,2013-01-05
37,393,29,2,2013-01-05
38,447,5,5,2013-01-19
39,103,26,3,2013-01-05
40,192,21,4,2013-01-18
41,11,2,5,2013-01-17
42,4,13,1,2013-01-30
43,35,2,1,2013-01-13
44,122,2,3,2013-01-03
45,293,45,5,2013-01-23
46,414,31,4,2013-01-27
47,221,2,3,2013-01-07
48,331,21,1,2013-01-19
49,410,26,1,2013-01-04
50,143,8,4,2013-01-27
51,227,44,5,2013-01-15
52,277,19,1,2013-01-18
53,86,80,4,2013-01-29
54,195,2,1,2013-01-10
55,475,123,4,2013-01-04
56,375,23,5,2013-01-03
57,32,27,3,2013-01-12
58,258,13,5,2013-01-15
59,42,47,2,2013-01-04
60,442,2,2,2013-01-12
61,292,45,2,2013-01-05
62,42,1,4,2013-01-19
63,162,11,3,2013-01-14
64,123,25,3,2013-01-23
65,154,21,4,2013-01-18
66,38,28,1,2013-01-08
67,52,50,1,2013-01-18
68,68,10,3,2013-01-18
69,190,40,3,2013-01-11
70,361,36,3,2013-01-13
71,335,49,5,2013-01-04
72,481,20,2,2013-01-30
73,381,41,5,2013-01-09
74,108,6,3,2013-01-26
75,136,18,5,2013-01-12
76,434,42,1,2013-01-08
77,142,8,1,2013-01-23
78,327,30,3,2013-01-19
79,362,8,4,2013-01-14
80,484,3,2,2013-01-28
81,299,36,5,2013-01-11
82,158,3,3,2013-01-16
83,441,32,1,2013-01-03
84,400,2,5,2013-01-12
85,318,8,2,2013-01-02
86,84,5,2,2013-01-16
87,378,1,3,2013-01-20
88,343,8,2,2013-01-13
89,56,31,4,2013-01-04
90,114,38,2,2013-01-11
91,117,32,2,2013-01-28
92,496,38,3,2013-01-16
93,348,10,5,2013-01-11
94,450,1,3,2013-01-25
95,136,47,1,2013-01-20
96,374,8,3,2013-01-23
97,60,49,4,2013-01-07
98,267,8,5,2013-01-13
99,378,45,2,2013-01-07
100,341,2,3,2013-01-12
101,64,20,3,2013-01-28
102,168,21,4,2013-01-27
103,99,10,4,2013-01-13
104,427,8,1,2013-01-29
105,165,15,4,2013-01-21
106,262,21,4,2013-01-29
107,377,47,2,2013-01-20
108,340,6,5,2013-01-18
109,116,21,2,2013-01-11
110,244,1,5,2013-01-07
111,213,2,5,2013-01-25
112,254,23,4,2013-01-24
113,3,20,1,2013-01-05
114,238,23,1,2013-01-03
115,63,43,4,2013-01-06
116,163,11,4,2013-01-08
117,259,25,4,2013-01-08
118,460,10,2,2013-01-21
119,327,5,3,2013-01-29
120,321,10,2,2013-01-04
121,147,2,2,2013-01-19
122,277,6,1,2013-01-19
123,356,5,2,2013-01-29
124,209,2,3,2013-01-23
125,106,8,4,2013-01-26
126,485,30,1,2013-01-13
127,195,29,4,2013-01-27
128,489,37,4,2013-01-01
129,410,27,5,2013-01-06
130,409,21,4,2013-01-27
131,471,36,2,2013-01-13
132,14,444,4,2013-01-17
133,43,20,4,2013-01-06
134,390,6,4,2013-01-15
135,216,46,3,2013-01-22
136,488,1,3,2013-01-08
137,491,2,1,2013-01-23
138,103,46,1,2013-01-01
139,243,5,1,2013-01-13
140,86,30,5,2013-01-25
141,59,28,2,2013-01-09
142,297,80,1,2013-01-25
143,465,12,4,2013-01-06
144,39,25,5,2013-01-15
145,53,17,3,2013-01-25
146,62,15,5,2013-01-30
147,55,35,4,2013-01-10
148,457,444,4,2013-01-08
149,376,8,5,2013-01-19
150,316,123,5,2013-01-08
151,479,5,1,2013-01-27
152,343,12,4,2013-01-26
153,144,5,5,2013-01-01
154,6,5,5,2013-01-30
155,369,2,4,2013-01-16
156,354,29,4,2013-01-24
157,114,2,4,2013-01-01
158,298,6,3,2013-01-06
159,218,10,5,2013-01-18
160,139,24,3,2013-01-15
161,99,3,3,2013-01-12
162,391,10,2,2013-01-03
163,142,27,5,2013-01-12
164,306,444,3,2013-01-28
165,152,80,2,2013-01-04
166,363,6,5,2013-01-05
167,28,1,5,2013-01-24
168,327,45,4,2013-01-04
169,146,1,4,2013-01-26
170,482,123,4,2013-01-07
171,252,2,1,2013-01-07
172,78,22,2,2013-01-24
173,44,46,2,2013-01-27
174,311,29,5,2013-01-09
175,268,5,4,2013-01-13
176,441,8,5,2013-01-26
177,292,123,5,2013-01-30
178,51,47,2,2013-01-21
179,42,5,2,2013-01-11
180,81,10,1,2013-01-27
181,241,23,3,2013-01-10
182,145,6,4,2013-01-16
183,136,5,5,2013-01-20
184,218,45,1,2013-01-19
185,466,19,3,2013-01-22
186,85,2,3,2013-01-26
187,472,35,3,2013-01-22
188,140,8,5,2013-01-06
189,307,8,1,2013-01-13
190,310,27,3,2013-01-11
191,346,5,5,2013-01-04
192,392,1,3,2013-01-17
193,90,29,4,2013-01-02
194,143,8,2,2013-01-29
195,326,123,4,2013-01-27
196,179,123,4,2013-01-12
197,440,21,2,2013-01-29
198,148,23,4,2013-01-11
199,233,10,1,2013-01-01
200,497,6,4,2013-01-04
201,1,35,5,2013-01-03
202,266,1,3,2013-01-12
203,137,1,5,2013-01-04
204,451,6,4,2013-01-02
205,312,48,2,2013-01-17
206,8,6,5,2013-01-04
207,431,5,1,2013-01-25
208,427,3,2,2013-01-12
209,261,25,3,2013-01-14
210,70,28,1,2013-01-24
211,213,32,3,2013-01-11
212,421,10,1,2013-01-27
213,301,6,5,2013-01-07
214,444,123,2,2013-01-28
215,194,29,4,2013-01-28
216,358,39,2,2013-01-23
217,398,5,4,2013-01-12
218,362,28,4,2013-01-23
219,421,20,2,2013-01-20
220,258,1,5,2013-01-10
221,433,2,4,2013-01-05
222,8,42,2,2013-01-05
223,80,19,1,2013-01-21
224,174,48,5,2013-01-18
